ArrayTaskID	Sample	Smoothing_window
     1	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652176_Adipocytes-Z000000T7.hg38.bed	200
     2	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652177_Adipocytes-Z000000T9.hg38.bed	200
     3	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652178_Adipocytes-Z000000T5.hg38.bed	200
     4	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652179_Aorta-Endothel-Z00000422.hg38.bed	200
     5	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652180_Aorta-Endothel-Z0000043G.hg38.bed	200
     6	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652181_Saphenous-Vein-Endothel-Z000000RM.hg38.bed	200
     7	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652182_Saphenous-Vein-Endothel-Z000000S7.hg38.bed	200
     8	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652183_Saphenous-Vein-Endothel-Z000000SB.hg38.bed	200
     9	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652184_Kidney-Glomerular-Endothel-Z000000Q5.hg38.bed	200
    10	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652185_Kidney-Glomerular-Endothel-Z00000443.hg38.bed	200
    11	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652186_Kidney-Glomerular-Endothel-Z0000045J.hg38.bed	200
    12	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652187_Kidney-Tubular-Endothel-Z000000PX.hg38.bed	200
    13	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652188_Kidney-Tubular-Endothel-Z000000Q3.hg38.bed	200
    14	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652189_Kidney-Tubular-Endothel-Z0000042R.hg38.bed	200
    15	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652190_Liver-Endothelium-Z000000RB.hg38.bed	200
    16	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652191_Lung-Alveolar-Endothel-Z000000Q1.hg38.bed	200
    17	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652192_Lung-Alveolar-Endothel-Z000000QK.hg38.bed	200
    18	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652193_Lung-Alveolar-Endothel-Z0000045H.hg38.bed	200
    19	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652194_Pancreas-Endothel-Z0000042D.hg38.bed	200
    20	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652195_Pancreas-Endothel-Z0000042X.hg38.bed	200
    21	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652196_Pancreas-Endothel-Z00000430.hg38.bed	200
    22	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652197_Pancreas-Islet-Endothel-Z0000042Y.hg38.bed	200
    23	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652198_Colon-Fibroblasts-Z0000042A.hg38.bed	200
    24	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652199_Colon-Fibroblasts-Z0000042C.hg38.bed	200
    25	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652200_Heart-Fibroblasts-Z0000043R.hg38.bed	200
    26	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652201_Heart-Fibroblasts-Z0000041V.hg38.bed	200
    27	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652202_Heart-Fibroblasts-Z0000041W.hg38.bed	200
    28	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652203_Heart-Fibroblasts-Z0000041X.hg38.bed	200
    29	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652204_Dermal-Fibroblasts-Z00000423.hg38.bed	200
    30	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652205_Skeletal-Muscle-Z00000427.hg38.bed	200
    31	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652206_Skeletal-Muscle-Z00000429.hg38.bed	200
    32	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652207_Aorta-Smooth-Muscle-Z0000041U.hg38.bed	200
    33	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652208_Coronary-Artery-Smooth-Muscle-Z00000420.hg38.bed	200
    34	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652209_Bladder-Smooth-Muscle-Z0000041Z.hg38.bed	200
    35	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652210_Prostate-Smooth-Muscle-Z0000041Y.hg38.bed	200
    36	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652211_Lung-Bronchus-Smooth-Muscle-Z00000421.hg38.bed	200
    37	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652212_Heart-Cardiomyocyte-Z0000044G.hg38.bed	200
    38	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652213_Heart-Cardiomyocyte-Z0000044K.hg38.bed	200
    39	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652214_Heart-Cardiomyocyte-Z0000044N.hg38.bed	200
    40	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652215_Heart-Cardiomyocyte-Z0000044P.hg38.bed	200
    41	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652216_Heart-Cardiomyocyte-Z0000044Q.hg38.bed	200
    42	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652217_Heart-Cardiomyocyte-Z0000044R.hg38.bed	200
    43	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652218_Bone-Osteoblasts-Z0000042Z.hg38.bed	200
    44	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652219_Oligodendrocytes-Z000000TK.hg38.bed	200
    45	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652220_Oligodendrocytes-Z0000042E.hg38.bed	200
    46	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652221_Oligodendrocytes-Z0000042L.hg38.bed	200
    47	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652222_Oligodendrocytes-Z0000042N.hg38.bed	200
    48	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652223_Cortex-Neuron-Z000000TF.hg38.bed	200
    49	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652224_Neuron-Z000000TH.hg38.bed	200
    50	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652225_Cortex-Neuron-Z0000042F.hg38.bed	200
    51	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652226_Cortex-Neuron-Z0000042H.hg38.bed	200
    52	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652227_Cortex-Neuron-Z0000042J.hg38.bed	200
    53	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652228_Cortex-Neuron-Z0000042M.hg38.bed	200
    54	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652229_Cortex-Neuron-Z0000042P.hg38.bed	200
    55	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652230_Cortex-Neuron-Z0000042K.hg38.bed	200
    56	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652231_Cerebellum-Neuron-Z000000TB.hg38.bed	200
    57	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652232_Cortex-Neuron-Z000000TD.hg38.bed	200
    58	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652233_Liver-Hepatocytes-Z000000R3.hg38.bed	200
    59	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652234_Liver-Hepatocytes-Z000000T3.hg38.bed	200
    60	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652235_Liver-Hepatocytes-Z0000043Q.hg38.bed	200
    61	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652236_Liver-Hepatocytes-Z0000044H.hg38.bed	200
    62	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652237_Liver-Hepatocytes-Z0000044M.hg38.bed	200
    63	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652238_Liver-Hepatocytes-Z00000431.hg38.bed	200
    64	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652239_Pancreas-Duct-Z0000043T.hg38.bed	200
    65	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652240_Pancreas-Duct-Z0000043U.hg38.bed	200
    66	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652241_Pancreas-Duct-Z0000043V.hg38.bed	200
    67	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652242_Pancreas-Duct-Z000000QZ.hg38.bed	200
    68	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652243_Pancreas-Acinar-Z000000QX.hg38.bed	200
    69	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652244_Pancreas-Acinar-Z0000043W.hg38.bed	200
    70	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652245_Pancreas-Acinar-Z0000043X.hg38.bed	200
    71	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652246_Pancreas-Acinar-Z0000043Y.hg38.bed	200
    72	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652247_Pancreas-Delta-Z00000451.hg38.bed	200
    73	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652248_Pancreas-Delta-Z00000454.hg38.bed	200
    74	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652249_Pancreas-Delta-Z00000457.hg38.bed	200
    75	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652250_Pancreas-Beta-Z00000452.hg38.bed	200
    76	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652251_Pancreas-Beta-Z00000455.hg38.bed	200
    77	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652252_Pancreas-Beta-Z00000458.hg38.bed	200
    78	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652253_Pancreas-Alpha-Z00000453.hg38.bed	200
    79	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652254_Pancreas-Alpha-Z00000456.hg38.bed	200
    80	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652255_Pancreas-Alpha-Z00000459.hg38.bed	200
    81	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652256_Kidney-Glomerular-Epithelial-Z0000045K.hg38.bed	200
    82	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652257_Kidney-Glomerular-Epithelial-Z0000045L.hg38.bed	200
    83	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652258_Kidney-Tubular-Epithelial-Z000000QH.hg38.bed	200
    84	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652259_Kidney-Tubular-Epithelial-Z0000043Z.hg38.bed	200
    85	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652260_Kidney-Tubular-Epithelial-Z00000440.hg38.bed	200
    86	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652261_Kidney-Glomerular-Podocytes-Z0000042W.hg38.bed	200
    87	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652262_Kidney-Glomerular-Podocytes-Z00000441.hg38.bed	200
    88	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652263_Kidney-Glomerular-Podocytes-Z00000442.hg38.bed	200
    89	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652264_Thyroid-Epithelial-Z0000042S.hg38.bed	200
    90	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652265_Thyroid-Epithelial-Z0000042T.hg38.bed	200
    91	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652266_Thyroid-Epithelial-Z0000042U.hg38.bed	200
    92	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652267_Fallopian-Epithelial-Z000000Q7.hg38.bed	200
    93	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652268_Fallopian-Epithelial-Z000000S9.hg38.bed	200
    94	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652269_Fallopian-Epithelial-Z000000UV.hg38.bed	200
    95	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652270_Ovary-Epithelial-Z000000QT.hg38.bed	200
    96	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652271_Endometrium-Epithelial-Z00000434.hg38.bed	200
    97	/jmsh/external/nihit/Israeli_methylation_dataset/bed/GSM5652272_Endometrium-Epithelial-Z00000435.hg38.bed	200
